Feature,Importance
Days_Between_Service_and_Claim,0.3994801426271082
Claim_Amount,0.17107581356713591
Approved_Amount,0.13134089164879534
Claim_Status,0.11946118782035628
Number_of_Claims_Per_Provider_Monthly,0.04290647100702686
Patient_Age,0.02729205119040854
Diagnosis_Code,0.015833313702488614
Patient_State,0.014927436941639723
Procedure_Code,0.01478114517718338
Prior_Visits_12m,0.013678225207263603
Provider_Specialty,0.013430099950271791
Length_of_Stay,0.011350269850982924
Insurance_Type,0.009309650398524215
Visit_Type,0.007192707192378286
Patient_Gender,0.004403149274129027
Chronic_Condition_Flag,0.0035374444443074127
