Feature,Mean_SHAP
Days_Between_Service_and_Claim,0.0901160967993775
Claim_Amount,0.06963897557415927
Approved_Amount,0.043665505651543604
Claim_Status,0.03140352509606872
Number_of_Claims_Per_Provider_Monthly,0.007551375883672403
Patient_Age,0.002658907860211909
Diagnosis_Code,0.002091725471002432
Prior_Visits_12m,0.001551928739885477
Procedure_Code,0.0014438928582245318
Provider_Specialty,0.001344491920069772
Patient_State,0.001277776245912224
Length_of_Stay,0.0012298636241688359
Insurance_Type,0.0007472558428617207
Patient_Gender,0.0007194947147671425
Visit_Type,0.0007065140635722152
Chronic_Condition_Flag,0.00042024940978805617
